"reporting_date","year","month","month_no","national_turnover_m"
"2019-01-01",2019,"January  ",1,"26124.5"
"2019-02-01",2019,"February ",2,"23492.3"
"2019-03-01",2019,"March    ",3,"26031.8"
"2019-04-01",2019,"April    ",4,"25326.3"
"2019-05-01",2019,"May      ",5,"26119.2"
"2019-06-01",2019,"June     ",6,"25749.4"
"2019-07-01",2019,"July     ",7,"26001.0"
"2019-08-01",2019,"August   ",8,"26484.4"
"2019-09-01",2019,"September",9,"25981.2"
"2019-10-01",2019,"October  ",10,"27504.6"
"2019-11-01",2019,"November ",11,"28857.9"
"2019-12-01",2019,"December ",12,"34303.4"
"2020-01-01",2020,"January  ",1,"26642.2"
"2020-02-01",2020,"February ",2,"24807.5"
"2020-03-01",2020,"March    ",3,"28308.9"
"2020-04-01",2020,"April    ",4,"22947.2"
"2020-05-01",2020,"May      ",5,"27419.0"
"2020-06-01",2020,"June     ",6,"27849.9"
"2020-07-01",2020,"July     ",7,"29260.5"
"2020-08-01",2020,"August   ",8,"27830.9"
"2020-09-01",2020,"September",9,"27616.7"
"2020-10-01",2020,"October  ",10,"29576.1"
"2020-11-01",2020,"November ",11,"32353.4"
"2020-12-01",2020,"December ",12,"37854.1"
"2021-01-01",2021,"January  ",1,"29374.1"
"2021-02-01",2021,"February ",2,"26142.9"
"2021-03-01",2021,"March    ",3,"29617.4"
"2021-04-01",2021,"April    ",4,"28540.5"
"2021-05-01",2021,"May      ",5,"29505.8"
"2021-06-01",2021,"June     ",6,"28741.8"
"2021-07-01",2021,"July     ",7,"28412.4"
"2021-08-01",2021,"August   ",8,"27640.2"
"2021-09-01",2021,"September",9,"28161.2"
"2021-10-01",2021,"October  ",10,"30979.3"
"2021-11-01",2021,"November ",11,"34458.0"
"2021-12-01",2021,"December ",12,"39790.1"
"2022-01-01",2022,"January  ",1,"31150.7"
"2022-02-01",2022,"February ",2,"28587.5"
"2022-03-01",2022,"March    ",3,"32126.1"
"2022-04-01",2022,"April    ",4,"31797.9"
"2022-05-01",2022,"May      ",5,"32607.9"
"2022-06-01",2022,"June     ",6,"32361.8"
"2022-07-01",2022,"July     ",7,"33079.6"
"2022-08-01",2022,"August   ",8,"33152.5"
"2022-09-01",2022,"September",9,"33528.8"
"2022-10-01",2022,"October  ",10,"34762.6"
"2022-11-01",2022,"November ",11,"37097.7"
"2022-12-01",2022,"December ",12,"42953.1"
"2023-01-01",2023,"January  ",1,"33640.2"
"2023-02-01",2023,"February ",2,"30470.2"
"2023-03-01",2023,"March    ",3,"33952.4"
"2023-04-01",2023,"April    ",4,"32881.0"
"2023-05-01",2023,"May      ",5,"34041.2"
"2023-06-01",2023,"June     ",6,"33354.0"
"2023-07-01",2023,"July     ",7,"33554.1"
"2023-08-01",2023,"August   ",8,"33824.3"
"2023-09-01",2023,"September",9,"34238.6"
"2023-10-01",2023,"October  ",10,"35226.8"
"2023-11-01",2023,"November ",11,"37894.1"
"2023-12-01",2023,"December ",12,"43091.4"
"2024-01-01",2024,"January  ",1,"34181.1"
"2024-02-01",2024,"February ",2,"32214.2"
"2024-03-01",2024,"March    ",3,"34533.0"
"2024-04-01",2024,"April    ",4,"33464.0"
"2024-05-01",2024,"May      ",5,"34874.7"
"2024-06-01",2024,"June     ",6,"34200.1"
"2024-07-01",2024,"July     ",7,"34462.4"
"2024-08-01",2024,"August   ",8,"35173.4"
"2024-09-01",2024,"September",9,"34594.9"
"2024-10-01",2024,"October  ",10,"36553.9"
"2024-11-01",2024,"November ",11,"39418.2"
"2024-12-01",2024,"December ",12,"44837.0"
"2025-01-01",2025,"January  ",1,"35439.4"
"2025-02-01",2025,"February ",2,"32074.7"
"2025-03-01",2025,"March    ",3,"35526.3"
"2025-04-01",2025,"April    ",4,"34610.3"
"2025-05-01",2025,"May      ",5,"36130.0"
"2025-06-01",2025,"June     ",6,"35628.1"
